"TOA5","IPIS-CWD-BSI-ID0000205","CR300","16101","CR310-WIFI.Std.10.07","CPU:IPIS-CWD-BSI-ID0000205_REV01.CR300","41095","IPI_1_Good"
"TIMESTAMP","RECORD","BattV","PTemp","IPI_1_Tilt_A(1)","IPI_1_Tilt_A(2)","IPI_1_Tilt_A(3)","IPI_1_Tilt_A(4)","IPI_1_Tilt_A(5)","IPI_1_Tilt_A(6)","IPI_1_Tilt_A(7)","IPI_1_Tilt_A(8)","IPI_1_Tilt_A(9)","IPI_1_Tilt_A(10)","IPI_1_Tilt_A(11)","IPI_1_Tilt_A(12)","IPI_1_Tilt_A(13)","IPI_1_Tilt_A(14)","IPI_1_Tilt_A(15)","IPI_1_Tilt_B(1)","IPI_1_Tilt_B(2)","IPI_1_Tilt_B(3)","IPI_1_Tilt_B(4)","IPI_1_Tilt_B(5)","IPI_1_Tilt_B(6)","IPI_1_Tilt_B(7)","IPI_1_Tilt_B(8)","IPI_1_Tilt_B(9)","IPI_1_Tilt_B(10)","IPI_1_Tilt_B(11)","IPI_1_Tilt_B(12)","IPI_1_Tilt_B(13)","IPI_1_Tilt_B(14)","IPI_1_Tilt_B(15)","IPI_1_Def_A(1)","IPI_1_Def_A(2)","IPI_1_Def_A(3)","IPI_1_Def_A(4)","IPI_1_Def_A(5)","IPI_1_Def_A(6)","IPI_1_Def_A(7)","IPI_1_Def_A(8)","IPI_1_Def_A(9)","IPI_1_Def_A(10)","IPI_1_Def_A(11)","IPI_1_Def_A(12)","IPI_1_Def_A(13)","IPI_1_Def_A(14)","IPI_1_Def_A(15)","IPI_1_Def_B(1)","IPI_1_Def_B(2)","IPI_1_Def_B(3)","IPI_1_Def_B(4)","IPI_1_Def_B(5)","IPI_1_Def_B(6)","IPI_1_Def_B(7)","IPI_1_Def_B(8)","IPI_1_Def_B(9)","IPI_1_Def_B(10)","IPI_1_Def_B(11)","IPI_1_Def_B(12)","IPI_1_Def_B(13)","IPI_1_Def_B(14)","IPI_1_Def_B(15)","IPI_1_Therm(1)","IPI_1_Therm(2)","IPI_1_Therm(3)","IPI_1_Therm(4)","IPI_1_Therm(5)","IPI_1_Therm(6)","IPI_1_Therm(7)","IPI_1_Therm(8)","IPI_1_Therm(9)","IPI_1_Therm(10)","IPI_1_Therm(11)","IPI_1_Therm(12)","IPI_1_Therm(13)","IPI_1_Therm(14)","IPI_1_Therm(15)"
"TS","RN","Volt","DegC","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","SIN_Angle","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC","DegC"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-02-13 14:53:00",0,13.22,44.47,0.005622,0.008198,0.005741,0.006079,0.007179,0.009306,-0.000479,0.006166,0.011288,0.003547,0.00373,8.4e-05,0.016225,0.014164,0.002919,0.004662,-0.0081,0.014719,0.003527,0.000479,0.011233,0.010537,0.002535,0.024479,0.003485,0.005077,0.018266,0.012834,0.007329,0.020082,16.866,24.594,17.223,18.237,21.537,27.918,-1.437,18.498,33.864,10.641,11.19,0.252,48.675,42.492,8.757,13.986,-24.3,44.157,10.581,1.437,33.699,31.611,7.605,73.437,10.455,15.231,54.798,38.502,21.987,60.246,29.25,28.69,27.81,28.13,27.75,27.38,27.31,27.13,26.94,26.88,26.81,26.69,26.56,26.25,26
"2024-02-13 15:00:00",1,13.35,43.46,0.005619,0.008198,0.005741,0.006076,0.007179,0.009306,-0.000475,0.006158,0.011284,0.003551,0.003722,9.6e-05,0.016222,0.014164,0.002919,0.004647,-0.008077,0.014734,0.004365,0.000479,0.01123,0.010526,0.002539,0.024475,0.003497,0.005073,0.018266,0.012819,0.007333,0.02009,16.857,24.594,17.223,18.228,21.537,27.918,-1.425,18.474,33.852,10.653,11.166,0.288,48.666,42.492,8.757,13.941,-24.231,44.202,13.095,1.437,33.69,31.578,7.617,73.425,10.491,15.219,54.798,38.457,21.999,60.27,29.25,28.69,27.81,28.19,27.75,27.38,27.31,27.13,26.94,26.88,26.81,26.69,26.56,26.25,26
"2024-02-13 15:02:00",2,13.28,43.19,0.005619,0.008194,0.005733,0.006087,0.007179,0.009306,-0.000467,0.006162,0.011284,0.003551,0.003718,8.8e-05,0.016222,0.01416,0.002927,0.004647,-0.008092,0.014742,0.004365,0.000479,0.011233,0.010537,0.002539,0.024471,0.003497,0.005085,0.018262,0.012823,0.007321,0.020102,16.857,24.582,17.199,18.261,21.537,27.918,-1.401,18.486,33.852,10.653,11.154,0.264,48.666,42.48,8.781,13.941,-24.276,44.226,13.095,1.437,33.699,31.611,7.617,73.413,10.491,15.255,54.786,38.469,21.963,60.306,29.25,28.75,27.81,28.19,27.75,27.38,27.38,27.13,26.94,26.88,26.75,26.69,26.56,26.25,26
"2024-02-13 15:10:00",3,13.39,42.29,0.005622,0.008194,0.00573,0.006079,0.007179,0.009298,-0.000467,0.006158,0.011276,0.003551,0.003726,9.6e-05,0.016222,0.014164,0.002919,0.004654,-0.008088,0.014734,0.004369,0.000479,0.011226,0.010541,0.002539,0.024475,0.003489,0.005085,0.018259,0.012834,0.007325,0.02009,16.866,24.582,17.19,18.237,21.537,27.894,-1.401,18.474,33.828,10.653,11.178,0.288,48.666,42.492,8.757,13.962,-24.264,44.202,13.107,1.437,33.678,31.623,7.617,73.425,10.467,15.255,54.777,38.502,21.975,60.27,29.25,28.69,27.81,28.19,27.75,27.31,27.31,27.13,26.94,26.88,26.75,26.69,26.56,26.25,26
"2024-02-13 16:00:00",4,13.14,39.31,0.005638,0.008202,0.005741,0.006083,0.007179,0.009306,-0.000467,0.006158,0.011276,0.003551,0.00373,0.000104,0.016222,0.014168,0.002927,0.004643,-0.008112,0.014727,0.004365,0.000479,0.011233,0.01053,0.002539,0.024467,0.003497,0.005077,0.018262,0.012834,0.007329,0.02009,16.914,24.606,17.223,18.249,21.537,27.918,-1.401,18.474,33.828,10.653,11.19,0.312,48.666,42.504,8.781,13.929,-24.336,44.181,13.095,1.437,33.699,31.59,7.617,73.401,10.491,15.231,54.786,38.502,21.987,60.27,29.25,28.69,27.81,28.13,27.75,27.38,27.31,27.13,26.94,26.88,26.75,26.69,26.56,26.25,26
"2024-02-13 17:00:00",5,13.17,37.88,0.005626,0.008198,0.005737,0.006087,0.007179,0.009298,-0.000483,0.006158,0.01128,0.003547,0.003726,9.6e-05,0.016237,0.014168,0.002919,0.004627,-0.008139,0.014719,0.004369,0.000479,0.011233,0.010526,0.002539,0.024479,0.003493,0.005081,0.018251,0.012823,0.007321,0.020094,16.878,24.594,17.211,18.261,21.537,27.894,-1.449,18.474,33.84,10.641,11.178,0.288,48.711,42.504,8.757,13.881,-24.417,44.157,13.107,1.437,33.699,31.578,7.617,73.437,10.479,15.243,54.753,38.469,21.963,60.282,29.25,28.69,27.88,28.19,27.75,27.38,27.31,27.13,26.94,26.88,26.81,26.69,26.56,26.25,26
"2024-02-13 18:00:00",6,13,36.33,0.005615,0.008194,0.005753,0.006734,0.007179,0.009306,-0.000471,0.006158,0.011288,0.003547,0.003718,0.000104,0.016222,0.014168,0.002923,0.004597,-0.008171,0.014719,0.004476,0.000479,0.011218,0.010526,0.002531,0.02449,0.003489,0.005081,0.018259,0.012838,0.007341,0.020098,16.845,24.582,17.259,20.202,21.537,27.918,-1.413,18.474,33.864,10.641,11.154,0.312,48.666,42.504,8.769,13.791,-24.513,44.157,13.428,1.437,33.654,31.578,7.593,73.47,10.467,15.243,54.777,38.514,22.023,60.294,29.25,28.69,27.81,28.13,27.75,27.38,27.31,27.13,26.94,26.88,26.75,26.69,26.56,26.25,26
"2024-02-13 19:00:00",7,12.85,35.26,0.005596,0.00819,0.005753,0.006757,0.007179,0.009313,-0.000479,0.006162,0.011292,0.003547,0.003726,0.000104,0.016222,0.014171,0.002919,0.004589,-0.008206,0.014727,0.004484,0.000479,0.011233,0.010526,0.002539,0.024483,0.003489,0.005097,0.018255,0.012819,0.007337,0.02009,16.788,24.57,17.259,20.271,21.537,27.939,-1.437,18.486,33.876,10.641,11.178,0.312,48.666,42.513,8.757,13.767,-24.618,44.181,13.452,1.437,33.699,31.578,7.617,73.44901,10.467,15.291,54.765,38.457,22.011,60.27,29.25,28.69,27.81,28.13,27.75,27.31,27.31,27.13,26.88,26.88,26.75,26.69,26.56,26.25,26
